region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.4,0.1,1594.481101,13.81699192,0.00866550999653398,159.4481101,547.38406488,1.381699192,10.584575741,5,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.5,0.1,1428.837548,8.28491449,0.00579836000362443,142.8837548,690.26781968,0.828491449,11.41306719,6,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.6,0.1,1572.545568,9.01757385,0.00573437999731147,157.2545568,847.52237648,0.901757385,12.314824575,7,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.05,0.05,825.2066726,22.6,0.027387078595467,41.26033363,41.26033363,1.13,1.13,1,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.1,0.05,1279.561537,37.28263568,0.0291370399952871,63.97807685,105.23841048,1.864131784,2.994131784,2,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.2,0.1,1383.28431,26.27709007,0.0189961599940362,138.328431,243.56684148,2.627709007,5.621840791,3,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.3,0.1,1523.611162,24.05972476,0.0157912499987316,152.3611162,395.92795768,2.405972476,8.027813267,4,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.4,0.1,1622.792068,8.86266792,0.00546137000221029,162.2792068,558.20716448,0.886266792,8.914080059,5,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.5,0.1,1402.17511,6.79834787,0.00484843000101464,140.217511,698.42467548,0.679834787,9.593914846,6,0
sc,Jena_1,Edinburgh,EB,330333.22022045,672185.617299384,2004,grass,improved pasture,EB_16,EB_2004_16,0.6,0.1,1645.905122,9.18935164,0.00558315999942553,164.5905122,863.01518768,0.918935164,10.51285001,7,0
sc,Jena_1,Edinburgh,EB,330326.639531822,672178.086742658,2004,grass,improved pasture,EB_17,EB_2004_17,0.05,0.05,1026.8655438,38,0.0370058185606052,51.34327719,51.34327719,1.9,1.9,1,0
